Exchange,InstrumentIdentifier,LastTradeTime,ServerTime,AverageTradedPrice,BuyPrice,BuyQty,Close,High,Low,LastTradePrice,LastTradeQty,Open,OpenInterest,QuotationLot,SellPrice,SellQty,TotalQtyTraded,Value,PreOpen,PriceChange,PriceChangePercentage,OpenInterestChange,MessageType
NFO,NIFTY-I,1679907513,1679907513,17038.35,17117.5,50,16955.05,17121.55,16940.8,17117.5,300,16995.25,10927000,50.0,17118.5,50,8716850,148520741197.5,False,162.45,0.96,-241700,RealtimeResult
NFO,NIFTY-I,1679907514,1679907514,17038.36,17116.15,50,16955.05,17121.55,16940.8,17116.6,650,16995.25,10927000,50.0,17116.6,50,8717500,148531903300.0,False,161.55,0.95,-241700,RealtimeResult
NFO,NIFTY-I,1679907515,1679907515,17038.36,17117.6,150,16955.05,17121.55,16940.8,17117.3,150,16995.25,10927000,50.0,17118.5,50,8717650,148534459054.0,False,162.25,0.96,-241700,RealtimeResult
NFO,NIFTY-I,1679907517,1679907517,17038.37,17117.6,100,16955.05,17121.55,16940.8,17118.0,1000,16995.25,10927000,50.0,17118.0,50,8718650,148551584600.5,False,162.95,0.96,-241700,RealtimeResult
NFO,NIFTY-I,1679907518,1679907518,17038.37,17116.6,200,16955.05,17121.55,16940.8,17116.6,400,16995.25,10927000,50.0,17117.45,50,8719050,148558399948.5,False,161.55,0.95,-241700,RealtimeResult
NFO,NIFTY-I,1679907520,1679907520,17038.38,17115.0,50,16955.05,17121.55,16940.8,17116.7,800,16995.25,10927000,50.0,17116.65,50,8719850,148572117843.0,False,161.65,0.95,-241700,RealtimeResult
NFO,NIFTY-I,1679907521,1679907521,17038.39,17114.1,50,16955.05,17121.55,16940.8,17116.85,850,16995.25,10927000,50.0,17116.85,150,8720700,148586687673.0,False,161.8,0.95,-241700,RealtimeResult
NFO,NIFTY-I,1679907523,1679907523,17038.4,17114.05,50,16955.05,17121.55,16940.8,17114.9,1300,16995.25,10927000,50.0,17114.9,100,8722000,148608924800.0,False,159.85,0.94,-241700,RealtimeResult
NFO,NIFTY-I,1679907524,1679907524,17038.4,17112.65,100,16955.05,17121.55,16940.8,17114.05,650,16995.25,10927000,50.0,17115.0,100,8722650,148619999760.0,False,159.0,0.94,-241700,RealtimeResult
NFO,NIFTY-I,1679907525,1679907525,17038.4,17113.75,150,16955.05,17121.55,16940.8,17114.05,0,16995.25,10927000,50.0,17116.55,100,8722650,148619999760.0,False,159.0,0.94,-241700,RealtimeResult
NFO,NIFTY-I,1679907527,1679907527,17038.41,17115.35,200,16955.05,17121.55,16940.8,17116.2,850,16995.25,10927000,50.0,17116.0,100,8723500,148634569635.0,False,161.15,0.95,-241700,RealtimeResult
NFO,NIFTY-I,1679907528,1679907528,17038.41,17113.15,50,16955.05,17121.55,16940.8,17114.0,300,16995.25,10927000,50.0,17114.1,50,8723800,148639681158.0,False,158.95,0.94,-241700,RealtimeResult
NFO,NIFTY-I,1679907529,1679907529,17038.42,17112.65,50,16955.05,17121.55,16940.8,17114.05,200,16995.25,10927000,50.0,17114.95,100,8724000,148643176080.0,False,159.0,0.94,-241700,RealtimeResult
NFO,NIFTY-I,1679907531,1679907531,17038.42,17113.1,350,16955.05,17121.55,16940.8,17113.35,750,16995.25,10927000,50.0,17114.05,50,8724750,148655954895.0,False,158.3,0.93,-241700,RealtimeResult
NFO,NIFTY-I,1679907532,1679907532,17038.42,17113.1,350,16955.05,17121.55,16940.8,17113.35,50,16995.25,10927000,50.0,17114.0,100,8724800,148656806816.0,False,158.3,0.93,-241700,RealtimeResult
NFO,NIFTY-I,1679907533,1679907533,17038.43,17112.95,50,16955.05,17121.55,16940.8,17113.1,200,16995.25,10927000,50.0,17114.95,50,8725000,148660301750.0,False,158.05,0.93,-241700,RealtimeResult
NFO,NIFTY-I,1679907534,1679907534,17038.43,17112.45,50,16955.05,17121.55,16940.8,17113.95,100,16995.25,10927000,50.0,17114.85,100,8725100,148662005593.0,False,158.9,0.94,-241700,RealtimeResult
NFO,NIFTY-I,1679907536,1679907536,17038.43,17113.5,250,16955.05,17121.55,16940.8,17114.95,1000,16995.25,10927000,50.0,17114.95,50,8726100,148679044023.0,False,159.9,0.94,-241700,RealtimeResult
NFO,NIFTY-I,1679907537,1679907538,17038.44,17116.1,350,16955.05,17121.55,16940.8,17116.0,700,16995.25,10927000,50.0,17116.5,50,8726800,148691058192.0,False,160.95,0.95,-241700,RealtimeResult
NFO,NIFTY-I,1679907538,1679907538,17038.44,17116.2,50,16955.05,17121.55,16940.8,17116.2,400,16995.25,10927000,50.0,17116.95,100,8727200,148697873568.0,False,161.15,0.95,-241700,RealtimeResult
