Exchange,InstrumentIdentifier,LastTradeTime,ServerTime,AverageTradedPrice,BuyPrice,BuyQty,Close,High,Low,LastTradePrice,LastTradeQty,Open,OpenInterest,QuotationLot,SellPrice,SellQty,TotalQtyTraded,Value,PreOpen,PriceChange,PriceChangePercentage,OpenInterestChange,MessageType
NFO,RELIANCE-III,1679907511,1679907511,2261.68,2281.15,250,2233.7,2282.0,2224.8,2281.0,0,2243.0,716750,250.0,2282.0,500,252000,569943360.0,False,47.3,2.12,7500,RealtimeResult
NFO,RELIANCE-III,1679907513,1679907513,2261.68,2281.25,250,2233.7,2282.0,2224.8,2281.0,0,2243.0,716750,250.0,2282.0,500,252000,569943360.0,False,47.3,2.12,7500,RealtimeResult
NFO,RELIANCE-III,1679907515,1679907515,2261.68,2281.2,250,2233.7,2282.0,2224.8,2281.0,0,2243.0,716750,250.0,2282.0,500,252000,569943360.0,False,47.3,2.12,7500,RealtimeResult
NFO,RELIANCE-III,1679907517,1679907517,2261.68,2281.3,500,2233.7,2282.0,2224.8,2281.0,0,2243.0,716750,250.0,2282.0,500,252000,569943360.0,False,47.3,2.12,7500,RealtimeResult
NFO,RELIANCE-III,1679907521,1679907521,2261.7,2281.3,500,2233.7,2282.0,2224.8,2282.0,250,2243.0,716750,250.0,2282.0,250,252250,570513825.0,False,48.3,2.16,7500,RealtimeResult
NFO,RELIANCE-III,1679907522,1679907522,2261.7,2281.45,250,2233.7,2282.0,2224.8,2282.0,0,2243.0,716750,250.0,2282.0,250,252250,570513825.0,False,48.3,2.16,7500,RealtimeResult
NFO,RELIANCE-III,1679907524,1679907525,2261.7,2280.65,250,2233.7,2282.0,2224.8,2282.0,0,2243.0,716750,250.0,2281.85,250,252250,570513825.0,False,48.3,2.16,7500,RealtimeResult
NFO,RELIANCE-III,1679907525,1679907526,2261.7,2280.65,250,2233.7,2282.0,2224.8,2282.0,0,2243.0,716750,250.0,2281.95,250,252250,570513825.0,False,48.3,2.16,7500,RealtimeResult
NFO,RELIANCE-III,1679907531,1679907532,2261.7,2281.05,250,2233.7,2282.0,2224.8,2282.0,0,2243.0,716750,250.0,2282.0,250,252250,570513825.0,False,48.3,2.16,7500,RealtimeResult
NFO,RELIANCE-III,1679907534,1679907534,2261.7,2281.2,250,2233.7,2282.0,2224.8,2282.0,0,2243.0,716750,250.0,2282.0,250,252250,570513825.0,False,48.3,2.16,7500,RealtimeResult
NFO,RELIANCE-III,1679907536,1679907536,2261.7,2281.4,250,2233.7,2282.0,2224.8,2282.0,0,2243.0,716750,250.0,2282.0,250,252250,570513825.0,False,48.3,2.16,7500,RealtimeResult
NFO,RELIANCE-III,1679907537,1679907537,2261.7,2281.35,500,2233.7,2282.0,2224.8,2282.0,0,2243.0,716750,250.0,2282.0,250,252250,570513825.0,False,48.3,2.16,7500,RealtimeResult
NFO,RELIANCE-III,1679907547,1679907547,2261.7,2281.7,250,2233.7,2282.0,2224.8,2282.0,0,2243.0,716750,250.0,2282.0,250,252250,570513825.0,False,48.3,2.16,7500,RealtimeResult
NFO,RELIANCE-III,1679907549,1679907549,2261.7,2281.3,250,2233.7,2282.0,2224.8,2282.0,0,2243.0,716750,250.0,2282.0,250,252250,570513825.0,False,48.3,2.16,7500,RealtimeResult
NFO,RELIANCE-III,1679907551,1679907552,2261.7,2280.65,250,2233.7,2282.0,2224.8,2282.0,0,2243.0,716750,250.0,2282.0,250,252250,570513825.0,False,48.3,2.16,7500,RealtimeResult
NFO,RELIANCE-III,1679907553,1679907553,2261.7,2280.75,250,2233.7,2282.0,2224.8,2282.0,0,2243.0,716750,250.0,2282.0,250,252250,570513825.0,False,48.3,2.16,7500,RealtimeResult
