Exchange,InstrumentIdentifier,LastTradeTime,ServerTime,AverageTradedPrice,BuyPrice,BuyQty,Close,High,Low,LastTradePrice,LastTradeQty,Open,OpenInterest,QuotationLot,SellPrice,SellQty,TotalQtyTraded,Value,PreOpen,PriceChange,PriceChangePercentage,OpenInterestChange,MessageType
NFO,RELIANCE-II,1679907512,1679907512,2250.11,2267.0,250,2219.85,2267.55,2216.45,2267.4,250,2226.5,21549250,250.0,2267.45,250,10080750,22682796382.5,False,47.55,2.14,6856500,RealtimeResult
NFO,RELIANCE-II,1679907512,1679907512,2250.11,2267.0,250,2219.85,2267.55,2216.45,2267.4,0,2226.5,21549250,250.0,2267.65,500,10080750,22682796382.5,False,47.55,2.14,6856500,RealtimeResult
NFO,RELIANCE-II,1679907515,1679907515,2250.11,2266.9,250,2219.85,2267.55,2216.45,2267.4,1500,2226.5,21549250,250.0,2267.6,750,10082250,22686171547.5,False,47.55,2.14,6856500,RealtimeResult
NFO,RELIANCE-II,1679907517,1679907517,2250.11,2267.05,250,2219.85,2267.6,2216.45,2267.15,1500,2226.5,21549250,250.0,2267.6,250,10083750,22689546712.5,False,47.3,2.13,6856500,RealtimeResult
NFO,RELIANCE-II,1679907519,1679907519,2250.11,2267.1,250,2219.85,2267.6,2216.45,2267.15,250,2226.5,21549250,250.0,2267.8,500,10084000,22690109240.0,False,47.3,2.13,6856500,RealtimeResult
NFO,RELIANCE-II,1679907520,1679907520,2250.11,2267.15,250,2219.85,2267.6,2216.45,2267.15,500,2226.5,21549250,250.0,2267.45,250,10084500,22691234295.0,False,47.3,2.13,6856500,RealtimeResult
NFO,RELIANCE-II,1679907521,1679907521,2250.11,2267.05,250,2219.85,2267.6,2216.45,2267.45,500,2226.5,21549250,250.0,2267.45,250,10085000,22692359350.0,False,47.6,2.14,6856500,RealtimeResult
NFO,RELIANCE-II,1679907522,1679907522,2250.11,2267.05,250,2219.85,2267.6,2216.45,2267.45,0,2226.5,21549250,250.0,2267.45,250,10085000,22692359350.0,False,47.6,2.14,6856500,RealtimeResult
NFO,RELIANCE-II,1679907524,1679907524,2250.11,2267.45,250,2219.85,2267.6,2216.45,2267.45,0,2226.5,21549250,250.0,2267.75,500,10085000,22692359350.0,False,47.6,2.14,6856500,RealtimeResult
NFO,RELIANCE-II,1679907525,1679907525,2250.12,2266.25,500,2219.85,2267.6,2216.45,2266.45,1750,2226.5,21549250,250.0,2266.8,250,10086750,22696397910.0,False,46.6,2.1,6856500,RealtimeResult
NFO,RELIANCE-II,1679907526,1679907526,2250.12,2266.25,500,2219.85,2267.6,2216.45,2266.7,1000,2226.5,21549250,250.0,2266.8,250,10087750,22698648030.0,False,46.85,2.11,6856500,RealtimeResult
NFO,RELIANCE-II,1679907528,1679907528,2250.12,2266.05,500,2219.85,2267.6,2216.45,2266.35,1250,2226.5,21549250,250.0,2266.95,250,10089000,22701460680.0,False,46.5,2.09,6856500,RealtimeResult
NFO,RELIANCE-II,1679907530,1679907530,2250.12,2266.2,250,2219.85,2267.6,2216.45,2266.9,1250,2226.5,21549250,250.0,2266.9,250,10090250,22704273330.0,False,47.05,2.12,6856500,RealtimeResult
NFO,RELIANCE-II,1679907531,1679907531,2250.12,2266.05,1000,2219.85,2267.6,2216.45,2266.15,500,2226.5,21549250,250.0,2266.85,500,10090750,22705398390.0,False,46.3,2.09,6856500,RealtimeResult
NFO,RELIANCE-II,1679907532,1679907532,2250.13,2267.0,9500,2219.85,2267.6,2216.45,2267.15,1000,2226.5,21549250,250.0,2267.3,500,10091750,22707749427.5,False,47.3,2.13,6856500,RealtimeResult
NFO,RELIANCE-II,1679907534,1679907534,2250.13,2267.0,9000,2219.85,2267.6,2216.45,2267.0,1500,2226.5,21549250,250.0,2267.05,500,10093250,22711124622.5,False,47.15,2.12,6856500,RealtimeResult
NFO,RELIANCE-II,1679907536,1679907536,2250.15,2267.05,4750,2219.85,2267.6,2216.45,2267.05,10750,2226.5,21549250,250.0,2267.1,250,10104000,22735515600.0,False,47.2,2.13,6856500,RealtimeResult
NFO,RELIANCE-II,1679907538,1679907538,2250.15,2267.05,4500,2219.85,2267.6,2216.45,2267.05,500,2226.5,21549250,250.0,2267.1,250,10104500,22736640675.0,False,47.2,2.13,6856500,RealtimeResult
NFO,RELIANCE-II,1679907540,1679907540,2250.15,2267.05,4500,2219.85,2267.6,2216.45,2267.1,500,2226.5,21549250,250.0,2267.3,250,10105000,22737765750.0,False,47.25,2.13,6856500,RealtimeResult
NFO,RELIANCE-II,1679907541,1679907541,2250.15,2267.15,4500,2219.85,2267.6,2216.45,2267.1,500,2226.5,21549250,250.0,2267.3,250,10105500,22738890825.0,False,47.25,2.13,6856500,RealtimeResult
NFO,RELIANCE-II,1679907541,1679907542,2250.15,2267.15,4500,2219.85,2267.6,2216.45,2267.1,250,2226.5,21549250,250.0,2267.25,250,10105750,22739453362.5,False,47.25,2.13,6856500,RealtimeResult
NFO,RELIANCE-II,1679907542,1679907542,2250.15,2267.15,4500,2219.85,2267.65,2216.45,2267.65,1000,2226.5,21549250,250.0,2267.7,500,10106750,22741703512.5,False,47.8,2.15,6856500,RealtimeResult
NFO,RELIANCE-II,1679907543,1679907543,2250.15,2267.15,4500,2219.85,2267.65,2216.45,2267.65,0,2226.5,21549250,250.0,2267.75,250,10106750,22741703512.5,False,47.8,2.15,6856500,RealtimeResult
NFO,RELIANCE-II,1679907546,1679907546,2250.15,2267.2,250,2219.85,2267.65,2216.45,2267.45,1750,2226.5,21549250,250.0,2267.55,1250,10108500,22745641275.0,False,47.6,2.14,6856500,RealtimeResult
NFO,RELIANCE-II,1679907547,1679907547,2250.16,2267.35,250,2219.85,2268.0,2216.45,2268.0,5500,2226.5,21549250,250.0,2268.0,3000,10114000,22758118240.0,False,48.15,2.17,6856500,RealtimeResult
NFO,RELIANCE-II,1679907548,1679907548,2250.16,2267.35,500,2219.85,2268.0,2216.45,2268.0,250,2226.5,21549250,250.0,2267.95,250,10114250,22758680780.0,False,48.15,2.17,6856500,RealtimeResult
NFO,RELIANCE-II,1679907549,1679907549,2250.16,2267.05,250,2219.85,2268.0,2216.45,2267.2,750,2226.5,21549250,250.0,2267.25,250,10115000,22760368400.0,False,47.35,2.13,6856500,RealtimeResult
NFO,RELIANCE-II,1679907551,1679907551,2250.17,2266.3,500,2219.85,2268.0,2216.45,2266.4,1000,2226.5,21549250,250.0,2267.25,250,10116000,22762719720.0,False,46.55,2.1,6856500,RealtimeResult
NFO,RELIANCE-II,1679907552,1679907552,2250.17,2266.4,250,2219.85,2268.0,2216.45,2267.25,1000,2226.5,21549250,250.0,2267.3,250,10117000,22764969890.0,False,47.4,2.14,6856500,RealtimeResult
NFO,RELIANCE-II,1679907553,1679907553,2250.19,2266.7,250,2219.85,2268.0,2216.45,2266.35,10250,2226.5,21549250,250.0,2267.2,250,10127250,22788236677.5,False,46.5,2.09,6856500,RealtimeResult
NFO,RELIANCE-II,1679907554,1679907554,2250.19,2266.8,250,2219.85,2268.0,2216.45,2266.35,0,2226.5,21549250,250.0,2267.2,250,10127250,22788236677.5,False,46.5,2.09,6856500,RealtimeResult
NFO,RELIANCE-II,1679907555,1679907555,2250.19,2266.55,250,2219.85,2268.0,2216.45,2266.35,0,2226.5,21549250,250.0,2267.1,250,10127250,22788236677.5,False,46.5,2.09,6856500,RealtimeResult
NFO,RELIANCE-II,1679907556,1679907556,2250.19,2266.8,250,2219.85,2268.0,2216.45,2266.75,2250,2226.5,21549250,250.0,2267.35,500,10129500,22793299605.0,False,46.9,2.11,6856500,RealtimeResult
