Exchange,InstrumentIdentifier,LastTradeTime,ServerTime,AverageTradedPrice,BuyPrice,BuyQty,Close,High,Low,LastTradePrice,LastTradeQty,Open,OpenInterest,QuotationLot,SellPrice,SellQty,TotalQtyTraded,Value,PreOpen,PriceChange,PriceChangePercentage,OpenInterestChange,MessageType
NFO,SBIN-II,1679907511,1679907511,512.65,517.3,3000,509.35,517.85,505.8,517.45,0,509.45,43335000,1500.0,517.45,1500,27862500,14283710625.0,False,8.1,1.59,16383000,RealtimeResult
NFO,SBIN-II,1679907512,1679907512,512.65,517.3,1500,509.35,517.85,505.8,517.45,0,509.45,43335000,1500.0,517.4,1500,27862500,14283710625.0,False,8.1,1.59,16383000,RealtimeResult
NFO,SBIN-II,1679907513,1679907513,512.65,517.25,4500,509.35,517.85,505.8,517.3,1500,509.45,43335000,1500.0,517.5,4500,27864000,14284479600.0,False,7.95,1.56,16383000,RealtimeResult
NFO,SBIN-II,1679907514,1679907514,512.65,517.3,1500,509.35,517.85,505.8,517.3,3000,509.45,43335000,1500.0,517.45,1500,27867000,14286017550.0,False,7.95,1.56,16383000,RealtimeResult
NFO,SBIN-II,1679907516,1679907516,512.65,517.4,6000,509.35,517.85,505.8,517.45,10500,509.45,43335000,1500.0,517.55,6000,27877500,14291400375.0,False,8.1,1.59,16383000,RealtimeResult
NFO,SBIN-II,1679907516,1679907516,512.66,517.4,6000,509.35,517.85,505.8,517.5,1500,509.45,43335000,1500.0,517.45,1500,27879000,14292448140.0,False,8.15,1.6,16383000,RealtimeResult
NFO,SBIN-II,1679907518,1679907518,512.66,517.15,1500,509.35,517.85,505.8,517.35,10500,509.45,43335000,1500.0,517.35,3000,27889500,14297831070.0,False,8.0,1.57,16383000,RealtimeResult
NFO,SBIN-II,1679907518,1679907518,512.66,517.15,3000,509.35,517.85,505.8,517.35,0,509.45,43335000,1500.0,517.35,3000,27889500,14297831070.0,False,8.0,1.57,16383000,RealtimeResult
NFO,SBIN-II,1679907519,1679907519,512.66,517.15,1500,509.35,517.85,505.8,517.35,1500,509.45,43335000,1500.0,517.35,3000,27891000,14298600060.0,False,8.0,1.57,16383000,RealtimeResult
NFO,SBIN-II,1679907520,1679907520,512.66,517.15,1500,509.35,517.85,505.8,517.35,0,509.45,43335000,1500.0,517.35,1500,27891000,14298600060.0,False,8.0,1.57,16383000,RealtimeResult
NFO,SBIN-II,1679907521,1679907521,512.66,517.25,1500,509.35,517.85,505.8,517.35,0,509.45,43335000,1500.0,517.45,3000,27891000,14298600060.0,False,8.0,1.57,16383000,RealtimeResult
NFO,SBIN-II,1679907522,1679907522,512.66,517.1,1500,509.35,517.85,505.8,517.2,1500,509.45,43335000,1500.0,517.3,1500,27892500,14299369050.0,False,7.85,1.54,16383000,RealtimeResult
NFO,SBIN-II,1679907523,1679907523,512.66,517.2,3000,509.35,517.85,505.8,517.2,0,509.45,43335000,1500.0,517.3,1500,27892500,14299369050.0,False,7.85,1.54,16383000,RealtimeResult
NFO,SBIN-II,1679907526,1679907526,512.66,517.2,3000,509.35,517.85,505.8,517.2,3000,509.45,43335000,1500.0,517.3,1500,27895500,14300907030.0,False,7.85,1.54,16383000,RealtimeResult
NFO,SBIN-II,1679907526,1679907526,512.66,517.2,3000,509.35,517.85,505.8,517.2,1500,509.45,43335000,1500.0,517.3,1500,27897000,14301676020.0,False,7.85,1.54,16383000,RealtimeResult
NFO,SBIN-II,1679907527,1679907527,512.66,517.2,3000,509.35,517.85,505.8,517.2,1500,509.45,43335000,1500.0,517.3,1500,27898500,14302445010.0,False,7.85,1.54,16383000,RealtimeResult
NFO,SBIN-II,1679907528,1679907528,512.66,517.05,3000,509.35,517.85,505.8,517.2,4500,509.45,43335000,1500.0,517.25,1500,27903000,14304751980.0,False,7.85,1.54,16383000,RealtimeResult
NFO,SBIN-II,1679907529,1679907529,512.66,517.05,1500,509.35,517.85,505.8,517.2,3000,509.45,43335000,1500.0,517.25,1500,27906000,14306289960.0,False,7.85,1.54,16383000,RealtimeResult
NFO,SBIN-II,1679907530,1679907530,512.66,517.05,1500,509.35,517.85,505.8,517.2,1500,509.45,43335000,1500.0,517.25,3000,27907500,14307058950.0,False,7.85,1.54,16383000,RealtimeResult
NFO,SBIN-II,1679907532,1679907532,512.66,517.05,1500,509.35,517.85,505.8,517.2,0,509.45,43335000,1500.0,517.25,3000,27907500,14307058950.0,False,7.85,1.54,16383000,RealtimeResult
NFO,SBIN-II,1679907532,1679907532,512.66,517.05,1500,509.35,517.85,505.8,517.2,1500,509.45,43335000,1500.0,517.25,3000,27909000,14307827940.0,False,7.85,1.54,16383000,RealtimeResult
NFO,SBIN-II,1679907533,1679907533,512.66,517.05,1500,509.35,517.85,505.8,517.2,0,509.45,43335000,1500.0,517.25,1500,27909000,14307827940.0,False,7.85,1.54,16383000,RealtimeResult
NFO,SBIN-II,1679907534,1679907534,512.66,517.05,1500,509.35,517.85,505.8,517.25,1500,509.45,43335000,1500.0,517.2,1500,27910500,14308596930.0,False,7.9,1.55,16383000,RealtimeResult
NFO,SBIN-II,1679907535,1679907535,512.66,517.05,6000,509.35,517.85,505.8,517.15,7500,509.45,43335000,1500.0,517.25,3000,27918000,14312441880.0,False,7.8,1.53,16383000,RealtimeResult
NFO,SBIN-II,1679907536,1679907536,512.66,517.15,3000,509.35,517.85,505.8,517.3,3000,509.45,43335000,1500.0,517.35,1500,27921000,14313979860.0,False,7.95,1.56,16383000,RealtimeResult
NFO,SBIN-II,1679907537,1679907537,512.66,517.25,3000,509.35,517.85,505.8,517.3,1500,509.45,43335000,1500.0,517.45,1500,27922500,14314748850.0,False,7.95,1.56,16383000,RealtimeResult
