Exchange,InstrumentIdentifier,LastTradeTime,ServerTime,AverageTradedPrice,BuyPrice,BuyQty,Close,High,Low,LastTradePrice,LastTradeQty,Open,OpenInterest,QuotationLot,SellPrice,SellQty,TotalQtyTraded,Value,PreOpen,PriceChange,PriceChangePercentage,OpenInterestChange,MessageType
NFO,SBIN-I,1679907511,1679907511,509.77,514.45,7500,506.05,515.0,502.8,514.7,0,507.5,58969500,1500.0,514.6,1500,34017000,17340846090.0,False,8.65,1.71,-6355500,RealtimeResult
NFO,SBIN-I,1679907513,1679907514,509.77,514.55,3000,506.05,515.0,502.8,514.5,1500,507.5,58969500,1500.0,514.65,4500,34018500,17341610745.0,False,8.45,1.67,-6355500,RealtimeResult
NFO,SBIN-I,1679907514,1679907514,509.77,514.45,3000,506.05,515.0,502.8,514.55,3000,507.5,58969500,1500.0,514.6,1500,34021500,17343140055.0,False,8.5,1.68,-6355500,RealtimeResult
NFO,SBIN-I,1679907515,1679907515,509.77,514.5,1500,506.05,515.0,502.8,514.55,9000,507.5,58969500,1500.0,514.6,1500,34030500,17347727985.0,False,8.5,1.68,-6355500,RealtimeResult
NFO,SBIN-I,1679907516,1679907516,509.77,514.5,1500,506.05,515.0,502.8,514.55,0,507.5,58969500,1500.0,514.65,4500,34030500,17347727985.0,False,8.5,1.68,-6355500,RealtimeResult
NFO,SBIN-I,1679907518,1679907518,509.77,514.3,4500,506.05,515.0,502.8,514.4,3000,507.5,58969500,1500.0,514.5,1500,34033500,17349257295.0,False,8.35,1.65,-6355500,RealtimeResult
NFO,SBIN-I,1679907518,1679907518,509.77,514.3,4500,506.05,515.0,502.8,514.4,0,507.5,58969500,1500.0,514.5,1500,34033500,17349257295.0,False,8.35,1.65,-6355500,RealtimeResult
NFO,SBIN-I,1679907519,1679907519,509.77,514.3,1500,506.05,515.0,502.8,514.3,3000,507.5,58969500,1500.0,514.45,1500,34036500,17350786605.0,False,8.25,1.63,-6355500,RealtimeResult
NFO,SBIN-I,1679907520,1679907520,509.77,514.3,3000,506.05,515.0,502.8,514.35,4500,507.5,58969500,1500.0,514.5,1500,34041000,17353080570.0,False,8.3,1.64,-6355500,RealtimeResult
NFO,SBIN-I,1679907521,1679907521,509.77,514.4,1500,506.05,515.0,502.8,514.35,0,507.5,58969500,1500.0,514.6,3000,34041000,17353080570.0,False,8.3,1.64,-6355500,RealtimeResult
NFO,SBIN-I,1679907522,1679907522,509.77,514.4,1500,506.05,515.0,502.8,514.4,6000,507.5,58969500,1500.0,514.55,1500,34047000,17356139190.0,False,8.35,1.65,-6355500,RealtimeResult
NFO,SBIN-I,1679907523,1679907523,509.78,514.3,6000,506.05,515.0,502.8,514.4,3000,507.5,58969500,1500.0,514.5,1500,34050000,17358009000.0,False,8.35,1.65,-6355500,RealtimeResult
NFO,SBIN-I,1679907524,1679907524,509.78,514.35,1500,506.05,515.0,502.8,514.35,6000,507.5,58969500,1500.0,514.6,4500,34056000,17361067680.0,False,8.3,1.64,-6355500,RealtimeResult
NFO,SBIN-I,1679907525,1679907525,509.78,514.3,6000,506.05,515.0,502.8,514.35,3000,507.5,58969500,1500.0,514.5,1500,34059000,17362597020.0,False,8.3,1.64,-6355500,RealtimeResult
NFO,SBIN-I,1679907526,1679907526,509.78,514.35,1500,506.05,515.0,502.8,514.35,3000,507.5,58969500,1500.0,514.5,1500,34062000,17364126360.0,False,8.3,1.64,-6355500,RealtimeResult
NFO,SBIN-I,1679907527,1679907527,509.78,514.35,1500,506.05,515.0,502.8,514.35,0,507.5,58969500,1500.0,514.45,3000,34062000,17364126360.0,False,8.3,1.64,-6355500,RealtimeResult
NFO,SBIN-I,1679907530,1679907530,509.78,514.25,1500,506.05,515.0,502.8,514.35,4500,507.5,58969500,1500.0,514.35,3000,34066500,17366420370.0,False,8.3,1.64,-6355500,RealtimeResult
NFO,SBIN-I,1679907531,1679907531,509.78,514.25,1500,506.05,515.0,502.8,514.35,0,507.5,58969500,1500.0,514.35,3000,34066500,17366420370.0,False,8.3,1.64,-6355500,RealtimeResult
NFO,SBIN-I,1679907532,1679907532,509.78,514.25,1500,506.05,515.0,502.8,514.35,4500,507.5,58969500,1500.0,514.4,1500,34071000,17368714380.0,False,8.3,1.64,-6355500,RealtimeResult
NFO,SBIN-I,1679907533,1679907533,509.78,514.25,1500,506.05,515.0,502.8,514.35,0,507.5,58969500,1500.0,514.4,3000,34071000,17368714380.0,False,8.3,1.64,-6355500,RealtimeResult
NFO,SBIN-I,1679907534,1679907534,509.78,514.2,1500,506.05,515.0,502.8,514.2,3000,507.5,58969500,1500.0,514.35,1500,34074000,17370243720.0,False,8.15,1.61,-6355500,RealtimeResult
