Exchange,InstrumentIdentifier,LastTradeTime,ServerTime,AverageTradedPrice,BuyPrice,BuyQty,Close,High,Low,LastTradePrice,LastTradeQty,Open,OpenInterest,QuotationLot,SellPrice,SellQty,TotalQtyTraded,Value,PreOpen,PriceChange,PriceChangePercentage,OpenInterestChange,MessageType
NSE,SBIN,1679907511,1679907512,508.68,513.3,121,505.35,514.15,501.55,513.3,1322,507.0,0,1.0,513.45,203,12199670,6205728135.6,False,7.95,1.57,0,RealtimeResult
NSE,SBIN,1679907513,1679907513,508.68,513.3,219,505.35,514.15,501.55,513.3,1357,507.0,0,1.0,513.45,173,12201027,6206418414.36,False,7.95,1.57,0,RealtimeResult
NSE,SBIN,1679907514,1679907514,508.68,513.3,287,505.35,514.15,501.55,513.3,234,507.0,0,1.0,513.45,52,12201261,6206537445.48,False,7.95,1.57,0,RealtimeResult
NSE,SBIN,1679907514,1679907514,508.68,513.3,287,505.35,514.15,501.55,513.45,214,507.0,0,1.0,513.45,22,12201475,6206646303.0,False,8.1,1.6,0,RealtimeResult
NSE,SBIN,1679907515,1679907515,508.68,513.3,222,505.35,514.15,501.55,513.4,1075,507.0,0,1.0,513.4,578,12202550,6207193134.0,False,8.05,1.59,0,RealtimeResult
NSE,SBIN,1679907517,1679907517,508.68,513.3,619,505.35,514.15,501.55,513.3,3264,507.0,0,1.0,513.55,516,12205814,6208853465.52,False,7.95,1.57,0,RealtimeResult
NSE,SBIN,1679907518,1679907518,508.68,513.2,1006,505.35,514.15,501.55,513.35,1047,507.0,0,1.0,513.35,179,12206861,6209386053.48,False,8.0,1.58,0,RealtimeResult
NSE,SBIN,1679907519,1679907519,508.68,513.15,41,505.35,514.15,501.55,513.35,1427,507.0,0,1.0,513.35,106,12208288,6210111939.84,False,8.0,1.58,0,RealtimeResult
NSE,SBIN,1679907520,1679907520,508.68,513.1,3692,505.35,514.15,501.55,513.3,1008,507.0,0,1.0,513.3,135,12209296,6210624689.28,False,7.95,1.57,0,RealtimeResult
NSE,SBIN,1679907520,1679907520,508.68,513.1,3692,505.35,514.15,501.55,513.3,0,507.0,0,1.0,513.3,135,12209296,6210624689.28,False,7.95,1.57,0,RealtimeResult
NSE,SBIN,1679907521,1679907521,508.68,513.2,65,505.35,514.15,501.55,513.2,2052,507.0,0,1.0,513.35,24,12211348,6211668500.64,False,7.85,1.55,0,RealtimeResult
NSE,SBIN,1679907522,1679907522,508.68,513.1,2582,505.35,514.15,501.55,513.2,525,507.0,0,1.0,513.3,50,12211873,6211935557.64,False,7.85,1.55,0,RealtimeResult
NSE,SBIN,1679907523,1679907523,508.69,513.05,1829,505.35,514.15,501.55,513.1,5936,507.0,0,1.0,513.3,469,12217809,6215077260.21,False,7.75,1.53,0,RealtimeResult
NSE,SBIN,1679907524,1679907524,508.69,513.15,131,505.35,514.15,501.55,513.3,653,507.0,0,1.0,513.35,143,12218462,6215409434.78,False,7.95,1.57,0,RealtimeResult
NSE,SBIN,1679907525,1679907525,508.69,513.1,91,505.35,514.15,501.55,513.1,238,507.0,0,1.0,513.15,2,12218700,6215530503.0,False,7.75,1.53,0,RealtimeResult
NSE,SBIN,1679907526,1679907526,508.69,513.1,108,505.35,514.15,501.55,513.1,109,507.0,0,1.0,513.3,373,12218809,6215585950.21,False,7.75,1.53,0,RealtimeResult
NSE,SBIN,1679907527,1679907527,508.69,513.1,88,505.35,514.15,501.55,513.1,100,507.0,0,1.0,513.2,2,12218909,6215636819.21,False,7.75,1.53,0,RealtimeResult
NSE,SBIN,1679907528,1679907528,508.69,512.95,119,505.35,514.15,501.55,513.0,9367,507.0,0,1.0,513.0,629,12228276,6220401718.44,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907529,1679907529,508.69,512.95,98,505.35,514.15,501.55,513.0,61,507.0,0,1.0,513.0,590,12228337,6220432748.53,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907530,1679907530,508.69,512.95,38,505.35,514.15,501.55,513.0,2558,507.0,0,1.0,513.0,626,12230895,6221733977.55,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907531,1679907532,508.69,512.85,960,505.35,514.15,501.55,513.0,2247,507.0,0,1.0,513.0,393,12233142,6222877003.98,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907532,1679907533,508.69,512.85,605,505.35,514.15,501.55,513.0,653,507.0,0,1.0,513.0,275,12233795,6223209178.55,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907533,1679907534,508.69,512.85,30,505.35,514.15,501.55,513.0,1280,507.0,0,1.0,513.0,268,12235075,6223860301.75,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907535,1679907535,508.69,512.85,865,505.35,514.15,501.55,513.0,2633,507.0,0,1.0,513.0,98,12237708,6225199682.52,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907536,1679907536,508.69,513.0,1151,505.35,514.15,501.55,513.0,390,507.0,0,1.0,513.1,102,12238098,6225398071.62,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907537,1679907537,508.69,513.1,95,505.35,514.15,501.55,513.2,331,507.0,0,1.0,513.2,198,12238429,6225566448.01,False,7.85,1.55,0,RealtimeResult
NSE,SBIN,1679907538,1679907538,508.69,513.05,698,505.35,514.15,501.55,513.2,23,507.0,0,1.0,513.2,197,12238452,6225578147.88,False,7.85,1.55,0,RealtimeResult
NSE,SBIN,1679907539,1679907539,508.69,513.1,13,505.35,514.15,501.55,513.2,600,507.0,0,1.0,513.2,164,12239052,6225883361.88,False,7.85,1.55,0,RealtimeResult
NSE,SBIN,1679907540,1679907540,508.69,513.1,41,505.35,514.15,501.55,513.1,5,507.0,0,1.0,513.2,186,12239057,6225885905.33,False,7.75,1.53,0,RealtimeResult
NSE,SBIN,1679907540,1679907540,508.69,513.1,41,505.35,514.15,501.55,513.1,0,507.0,0,1.0,513.2,186,12239057,6225885905.33,False,7.75,1.53,0,RealtimeResult
NSE,SBIN,1679907541,1679907541,508.69,513.1,23,505.35,514.15,501.55,513.1,126,507.0,0,1.0,513.2,91,12239183,6225950000.27,False,7.75,1.53,0,RealtimeResult
NSE,SBIN,1679907542,1679907542,508.69,513.05,81,505.35,514.15,501.55,513.1,490,507.0,0,1.0,513.2,91,12239673,6226199258.37,False,7.75,1.53,0,RealtimeResult
NSE,SBIN,1679907543,1679907543,508.69,513.0,2127,505.35,514.15,501.55,513.0,334,507.0,0,1.0,513.1,2,12240007,6226369160.83,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907544,1679907544,508.69,513.15,2,505.35,514.15,501.55,513.2,67,507.0,0,1.0,513.2,38,12240074,6226403243.06,False,7.85,1.55,0,RealtimeResult
NSE,SBIN,1679907545,1679907545,508.69,513.05,146,505.35,514.15,501.55,513.05,2413,507.0,0,1.0,513.25,273,12242487,6227630712.03,False,7.7,1.52,0,RealtimeResult
NSE,SBIN,1679907546,1679907546,508.7,513.05,990,505.35,514.15,501.55,513.15,115,507.0,0,1.0,513.15,282,12242602,6227811637.4,False,7.8,1.54,0,RealtimeResult
NSE,SBIN,1679907547,1679907547,508.7,513.05,1080,505.35,514.15,501.55,513.05,394,507.0,0,1.0,513.3,748,12242996,6228012065.2,False,7.7,1.52,0,RealtimeResult
NSE,SBIN,1679907548,1679907548,508.7,513.1,23,505.35,514.15,501.55,513.25,258,507.0,0,1.0,513.25,68,12243254,6228143309.8,False,7.9,1.56,0,RealtimeResult
NSE,SBIN,1679907549,1679907549,508.7,513.2,300,505.35,514.15,501.55,513.25,316,507.0,0,1.0,513.25,583,12243570,6228304059.0,False,7.9,1.56,0,RealtimeResult
NSE,SBIN,1679907550,1679907551,508.7,512.9,209,505.35,514.15,501.55,513.0,3565,507.0,0,1.0,513.0,600,12247135,6230117574.5,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907551,1679907552,508.7,512.9,71,505.35,514.15,501.55,513.0,140,507.0,0,1.0,513.0,598,12247275,6230188792.5,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907552,1679907553,508.7,512.9,107,505.35,514.15,501.55,513.0,1635,507.0,0,1.0,513.0,600,12248910,6231020517.0,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907553,1679907554,508.7,512.9,107,505.35,514.15,501.55,513.0,618,507.0,0,1.0,513.0,582,12249528,6231334893.6,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907554,1679907555,508.7,513.0,857,505.35,514.15,501.55,513.25,1619,507.0,0,1.0,513.25,848,12251147,6232158478.9,False,7.9,1.56,0,RealtimeResult
NSE,SBIN,1679907556,1679907556,508.7,513.0,639,505.35,514.15,501.55,513.0,753,507.0,0,1.0,513.25,517,12251900,6232541530.0,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907557,1679907557,508.7,513.0,6,505.35,514.15,501.55,513.0,398,507.0,0,1.0,513.2,273,12252298,6232743992.6,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907558,1679907558,508.7,513.0,1248,505.35,514.15,501.55,513.25,114,507.0,0,1.0,513.25,1184,12252412,6232801984.4,False,7.9,1.56,0,RealtimeResult
NSE,SBIN,1679907559,1679907559,508.7,512.95,248,505.35,514.15,501.55,513.2,1275,507.0,0,1.0,513.2,939,12253687,6233450576.9,False,7.85,1.55,0,RealtimeResult
NSE,SBIN,1679907559,1679907559,508.7,512.95,254,505.35,514.15,501.55,513.2,0,507.0,0,1.0,513.2,839,12253687,6233450576.9,False,7.85,1.55,0,RealtimeResult
NSE,SBIN,1679907560,1679907560,508.7,513.0,8,505.35,514.15,501.55,513.0,6,507.0,0,1.0,513.2,565,12253693,6233453629.1,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907561,1679907561,508.7,513.0,146,505.35,514.15,501.55,513.0,129,507.0,0,1.0,513.2,665,12253822,6233519251.4,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907562,1679907562,508.7,513.0,1239,505.35,514.15,501.55,513.05,634,507.0,0,1.0,513.05,6,12254456,6233841767.2,False,7.7,1.52,0,RealtimeResult
NSE,SBIN,1679907563,1679907563,508.7,512.9,150,505.35,514.15,501.55,512.95,2500,507.0,0,1.0,512.95,2500,12256956,6235113517.2,False,7.6,1.5,0,RealtimeResult
NSE,SBIN,1679907564,1679907565,508.7,512.85,1594,505.35,514.15,501.55,512.95,1150,507.0,0,1.0,512.95,1831,12258106,6235698522.2,False,7.6,1.5,0,RealtimeResult
NSE,SBIN,1679907565,1679907566,508.7,512.85,873,505.35,514.15,501.55,512.95,1053,507.0,0,1.0,512.95,779,12259159,6236234183.3,False,7.6,1.5,0,RealtimeResult
